Date,DAX,CAC40
15.01.2013,7720.470215,3697.350098
14.01.2013,7695.830078,3708.25
11.01.2013,7732.660156,3706.02002
10.01.2013,7776.370117,3703.120117
09.01.2013,7756.439941,3717.449951
08.01.2013,7778.779785,3705.879883
07.01.2013,7612.390137,3704.639893
04.01.2013,7612.390137,3730.02002
03.01.2013,7655.879883,3721.169922
02.01.2013,7636.22998,3733.929932
31.12.2012,7636.22998,3641.070068
28.12.2012,7636.22998,3620.25
27.12.2012,7672.100098,3674.26001
24.12.2012,7668.5,3652.610107
21.12.2012,7653.580078,3661.399902
20.12.2012,7604.939941,3666.72998
19.12.2012,7596.470215,3664.590088
18.12.2012,7581.97998,3648.629883
17.12.2012,7614.790039,3638.100098
14.12.2012,7589.75,3643.280029
13.12.2012,7530.919922,3643.129883
12.12.2012,7517.799805,3646.659912
11.12.2012,7534.540039,3646.149902
10.12.2012,7454.549805,3612.100098
07.12.2012,7435.120117,3605.610107
06.12.2012,7435.209961,3601.649902
05.12.2012,7405.5,3590.5
04.12.2012,7400.959961,3580.47998
03.12.2012,7343.410156,3566.590088
30.11.2012,7332.330078,3557.280029
29.11.2012,7292.029785,3568.879883
28.11.2012,7309.129883,3515.189941
27.11.2012,7244.990234,3502.129883
26.11.2012,7184.709961,3500.939941
23.11.2012,7172.990234,3528.800049
22.11.2012,7123.839844,3498.219971
21.11.2012,6950.529785,3477.360107
20.11.2012,7043.419922,3462.060059
19.11.2012,7101.919922,3439.580078
16.11.2012,7169.120117,3341.52002
15.11.2012,7168.759766,3382.399902
14.11.2012,7163.5,3400.02002
13.11.2012,7204.959961,3430.600098
12.11.2012,7232.830078,3411.649902
09.11.2012,7377.759766,3423.570068
08.11.2012,7326.470215,3407.679932
07.11.2012,7363.850098,3409.590088
06.11.2012,7335.669922,3478.659912
05.11.2012,7260.629883,3448.5
02.11.2012,7284.399902,3492.459961
01.11.2012,7203.160156,3475.399902
31.10.2012,7231.850098,3429.27002
30.10.2012,7200.22998,3459.439941
29.10.2012,7192.850098,3408.889893
26.10.2012,7173.689941,3435.090088
25.10.2012,7328.049805,3411.530029
24.10.2012,7380.640137,3426.48999
23.10.2012,7437.22998,3406.5
22.10.2012,7394.549805,3483.25
19.10.2012,7376.27002,3504.560059
18.10.2012,7261.25,3535.179932
17.10.2012,7232.490234,3527.5
16.10.2012,7281.700195,3500.939941
15.10.2012,7205.22998,3420.280029
12.10.2012,7234.529785,3389.080078
11.10.2012,7291.209961,3413.719971
10.10.2012,7397.870117,3365.870117
09.10.2012,7305.209961,3382.780029
08.10.2012,7322.080078,3406.530029
05.10.2012,7305.859863,3457.040039
04.10.2012,7326.72998,3401.199951
03.10.2012,7216.149902,3406.02002
02.10.2012,7290.02002,3414.22998
01.10.2012,7276.509766,3434.97998
28.09.2012,7425.109863,3354.820068
27.09.2012,7413.160156,3439.320068
26.09.2012,7451.620117,3414.840088
25.09.2012,7389.490234,3513.810059
24.09.2012,7390.759766,3497.219971
21.09.2012,7347.689941,3530.719971
20.09.2012,7403.689941,3509.919922
19.09.2012,7412.129883,3531.820068
18.09.2012,7310.319824,3512.689941
17.09.2012,7343.529785,3553.689941
14.09.2012,7310.109863,3581.580078
13.09.2012,7213.700195,3502.090088
12.09.2012,7214.5,3543.790039
11.09.2012,7167.330078,3537.300049
10.09.2012,6964.689941,3506.050049
07.09.2012,6932.580078,3519.050049
06.09.2012,7014.830078,3509.879883
05.09.2012,6970.790039,3405.790039
04.09.2012,6895.490234,3399.040039
03.09.2012,7010.569824,3453.709961
31.08.2012,7002.680176,3413.070068
30.08.2012,7047.450195,3379.110107
29.08.2012,6971.069824,3413.889893
28.08.2012,6949.569824,3431.550049
27.08.2012,7017.75,3462.830078
24.08.2012,7089.319824,3433.209961
23.08.2012,7033.680176,3432.560059
22.08.2012,7040.879883,3461.649902
21.08.2012,6996.290039,3513.280029
20.08.2012,6946.799805,3480.580078
17.08.2012,6974.390137,3488.379883
